2014-04-16 20:37:31 status half-installed diffutils:armhf 1:3.3-1
2014-04-16 20:37:31 status unpacked diffutils:armhf 1:3.3-1
2014-04-16 20:37:32 status unpacked diffutils:armhf 1:3.3-1
2014-04-16 20:37:32 upgrade dpkg:armhf 1.17.5ubuntu5 1.17.5ubuntu5
2014-04-16 20:37:32 status half-configured dpkg:armhf 1.17.5ubuntu5
2014-04-16 20:37:32 status unpacked dpkg:armhf 1.17.5ubuntu5
2014-04-16 20:37:32 status half-installed dpkg:armhf 1.17.5ubuntu5
2014-04-16 20:37:32 status half-installed dpkg:armhf 1.17.5ubuntu5
2014-04-16 20:37:32 status unpacked dpkg:armhf 1.17.5ubuntu5
2014-04-16 20:37:32 status unpacked dpkg:armhf 1.17.5ubuntu5
2014-04-16 20:37:33 install e2fslibs:armhf <none> 1.42.9-3ubuntu1
2014-04-16 20:37:33 status half-installed e2fslibs:armhf 1.42.9-3ubuntu1
2014-04-16 20:37:33 status unpacked e2fslibs:armhf 1.42.9-3ubuntu1
2014-04-16 20:37:33 status unpacked e2fslibs:armhf 1.42.9-3ubuntu1
2014-04-16 20:37:33 install e2fsprogs:armhf <none> 1.42.9-3ubuntu1
2014-04-16 20:37:33 status half-installed e2fsprogs:armhf 1.42.9-3ubuntu1
2014-04-16 20:37:33 status unpacked e2fsprogs:armhf 1.42.9-3ubuntu1
2014-04-16 20:37:33 status unpacked e2fsprogs:armhf 1.42.9-3ubuntu1
2014-04-16 20:37:34 install findutils:armhf <none> 4.4.2-7
2014-04-16 20:37:34 status half-installed findutils:armhf 4.4.2-7
2014-04-16 20:37:34 status unpacked findutils:armhf 4.4.2-7
2014-04-16 20:37:34 status unpacked findutils:armhf 4.4.2-7
2014-04-16 20:37:34 install gcc-4.9-base:armhf <none> 4.9-20140406-0ubuntu1
2014-04-16 20:37:34 status half-installed gcc-4.9-base:armhf 4.9-20140406-0ubuntu1
2014-04-16 20:37:34 status unpacked gcc-4.9-base:armhf 4.9-20140406-0ubuntu1
2014-04-16 20:37:34 status unpacked gcc-4.9-base:armhf 4.9-20140406-0ubuntu1
2014-04-16 20:37:34 install grep:armhf <none> 2.16-1
2014-04-16 20:37:34 status half-installed grep:armhf 2.16-1
2014-04-16 20:37:35 status unpacked grep:armhf 2.16-1
2014-04-16 20:37:35 status unpacked grep:armhf 2.16-1
2014-04-16 20:37:35 install gzip:armhf <none> 1.6-3ubuntu1
2014-04-16 20:37:35 status half-installed gzip:armhf 1.6-3ubuntu1
2014-04-16 20:37:35 status unpacked gzip:armhf 1.6-3ubuntu1
2014-04-16 20:37:35 status unpacked gzip:armhf 1.6-3ubuntu1
